Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Puntuacion(exceptional),Puntuacion(recommended),Puntuacion(meh),Puntuacion(skip)
PS2,2003,Shooter,1.98,2.23,0.13,0.8,5.13,3.77,13.95,58.14,23.26,4.65
XB,2003,Shooter,0.76,0.36,0.0,0.05,1.17,3.77,13.95,58.14,23.26,4.65
GC,2003,Shooter,0.33,0.09,0.0,0.01,0.42,3.77,13.95,58.14,23.26,4.65
PS2,2006,Misc,3.81,0.63,0.0,0.68,5.12,4.2,30.39,62.75,4.9,1.96
X360,2010,Role-Playing,3.59,1.08,0.05,0.38,5.1,3.73,16.52,52.08,25.3,6.1
PS3,2009,Action,1.96,1.41,1.08,0.64,5.09,3.81,15.93,58.54,20.9,4.63
X360,2009,Action,2.11,0.93,0.12,0.34,3.5,3.81,15.93,58.54,20.9,4.63
PC,2009,Action,0.01,0.04,0.0,0.01,0.07,3.81,15.93,58.54,20.9,4.63
DS,2007,Action,1.85,1.8,0.95,0.48,5.08,4.03,23.89,59.44,14.44,2.22
PS,1996,Action,2.05,1.16,1.11,0.73,5.05,4.19,45.16,39.52,9.68,5.65
PSP,2006,Action,1.7,1.99,0.16,1.18,5.03,4.02,19.79,65.1,13.54,1.56
PS,1999,Sports,3.42,1.38,0.02,0.2,5.02,4.4,50.0,43.44,4.92,1.64
PS,1999,Strategy,2.79,1.89,0.0,0.33,5.01,4.27,36.36,54.55,9.09,3.745
PS,1998,Platform,3.36,1.36,0.07,0.21,5.0,4.19,32.54,58.43,6.89,2.14
PS2,2007,Misc,3.49,0.01,0.01,1.48,4.98,4.4,49.28,44.93,3.86,1.93
Wii,2007,Misc,3.04,1.11,0.0,0.43,4.6,4.4,49.28,44.93,3.86,1.93
X360,2007,Misc,3.19,0.91,0.01,0.42,4.53,4.4,49.28,44.93,3.86,1.93
PS3,2007,Misc,1.4,0.53,0.02,0.3,2.24,4.4,49.28,44.93,3.86,1.93
PC,2007,Misc,0.02,0.0,0.0,0.0,0.02,4.4,49.28,44.93,3.86,1.93
X360,2008,Role-Playing,3.4,0.99,0.09,0.45,4.93,4.08,34.21,46.7,15.51,3.58
PS3,2008,Role-Playing,2.15,1.13,0.07,0.59,3.94,4.08,34.21,46.7,15.51,3.58
PC,2008,Role-Playing,0.02,0.88,0.0,0.08,0.98,4.08,34.21,46.7,15.51,3.58
PS3,2007,Action,2.31,1.72,0.12,0.77,4.92,4.02,23.79,59.46,14.36,2.39
PS2,2005,Sports,3.98,0.26,0.01,0.66,4.91,2.94,18.75,18.75,31.25,31.25
XB,2005,Sports,1.75,0.03,0.0,0.08,1.86,2.94,18.75,18.75,31.25,31.25
PSP,2005,Sports,0.69,0.0,0.0,0.06,0.75,2.94,18.75,18.75,31.25,31.25
GC,2005,Sports,0.44,0.11,0.0,0.02,0.57,2.94,18.75,18.75,31.25,31.25
GBA,2005,Sports,0.17,0.06,0.0,0.0,0.23,2.94,18.75,18.75,31.25,31.25
DS,2005,Sports,0.11,0.0,0.0,0.01,0.12,2.94,18.75,18.75,31.25,31.25
N64,1997,Racing,2.91,0.99,0.89,0.1,4.88,4.24,32.14,61.9,4.76,1.19
NES,1990,Puzzle,2.62,0.6,1.52,0.1,4.85,3.89,19.51,59.35,16.26,4.88
PC,2010,Strategy,2.57,1.68,0.0,0.58,4.84,4.58,62.06,33.99,3.95,14.216593406593407
PS3,2010,Action,2.74,1.33,0.12,0.61,4.8,4.42,53.98,37.29,7.33,1.4
PS,1999,Racing,2.57,1.57,0.44,0.21,4.79,4.36,56.52,34.42,3.26,5.8
PS,2000,Action,2.36,2.1,0.02,0.25,4.73,4.06,25.0,60.19,12.96,1.85
PS2,2003,Racing,1.73,2.19,0.0,0.79,4.7,4.07,24.91,60.85,12.46,1.78
XB,2003,Racing,0.7,0.58,0.0,0.07,1.35,4.07,24.91,60.85,12.46,1.78
GC,2003,Racing,0.77,0.2,0.0,0.03,0.99,4.07,24.91,60.85,12.46,1.78
PS,2000,Sports,3.05,1.41,0.02,0.2,4.68,4.36,54.19,36.23,5.39,4.19
PS2,2002,Action,1.94,1.95,0.08,0.7,4.67,3.89,16.22,64.86,14.86,4.05
GBA,2002,Action,0.53,0.2,0.0,0.01,0.74,3.89,16.22,64.86,14.86,4.05
XB,2002,Action,0.45,0.24,0.0,0.03,0.71,3.89,16.22,64.86,14.86,4.05
GC,2002,Action,0.41,0.11,0.0,0.01,0.53,3.89,16.22,64.86,14.86,4.05
PS,1996,Action,2.29,1.97,0.13,0.24,4.63,4.06,25.1,58.69,14.67,1.54
PC,1996,Action,0.96,0.07,0.0,0.0,1.03,4.06,25.1,58.69,14.67,1.54
Wii,2008,Simulation,1.82,1.12,1.32,0.36,4.62,4.08,18.46,70.77,10.77,10.53
SNES,1991,Action,2.42,0.91,1.15,0.13,4.61,4.38,63.55,22.53,8.06,5.86
GC,2002,Action,2.6,0.99,0.89,0.13,4.6,4.36,63.28,23.33,6.24,7.16
3DS,2013,Action,1.8,1.39,1.11,0.29,4.59,4.08,25.77,60.82,11.34,2.06
X360,2011,Racing,2.08,1.97,0.06,0.46,4.57,3.9,23.39,56.14,14.04,6.43
PS2,2006,Sports,3.63,0.24,0.01,0.61,4.49,3.19,14.29,28.57,38.1,19.05
X360,2006,Sports,1.66,0.0,0.01,0.13,1.8,3.19,14.29,28.57,38.1,19.05
XB,2006,Sports,0.97,0.03,0.0,0.03,1.02,3.19,14.29,28.57,38.1,19.05
GC,2006,Sports,0.48,0.13,0.0,0.02,0.62,3.19,14.29,28.57,38.1,19.05
PS3,2006,Sports,0.47,0.0,0.01,0.04,0.52,3.19,14.29,28.57,38.1,19.05
Wii,2006,Sports,0.46,0.0,0.0,0.04,0.49,3.19,14.29,28.57,38.1,19.05
DS,2006,Sports,0.2,0.0,0.0,0.02,0.21,3.19,14.29,28.57,38.1,19.05
GBA,2006,Sports,0.02,0.01,0.0,0.0,0.03,3.19,14.29,28.57,38.1,19.05
XOne,2015,Shooter,2.78,1.27,0.03,0.41,4.48,3.75,16.92,50.95,27.19,4.94
PS2,2002,Action,2.71,1.51,0.03,0.23,4.48,3.61,8.97,54.49,30.77,5.77
XB,2002,Action,1.07,0.28,0.0,0.05,1.4,3.61,8.97,54.49,30.77,5.77
GBA,2002,Action,0.92,0.35,0.01,0.05,1.33,3.61,8.97,54.49,30.77,5.77
GC,2002,Action,0.86,0.27,0.01,0.04,1.19,3.61,8.97,54.49,30.77,5.77
PS4,2016,Shooter,1.61,2.0,0.15,0.71,4.46,3.57,12.61,51.71,25.59,10.09
XOne,2016,Shooter,1.46,0.74,0.0,0.22,2.42,3.57,12.61,51.71,25.59,10.09
PC,2016,Shooter,0.04,0.08,0.0,0.01,0.14,3.57,12.61,51.71,25.59,10.09
WiiU,2015,Shooter,1.54,1.18,1.46,0.26,4.43,4.13,32.41,57.41,5.56,4.63
WiiU,2012,Misc,2.52,1.11,0.46,0.33,4.42,4.12,37.5,43.75,15.62,3.12
PS2,2001,Sports,2.66,1.29,0.01,0.46,4.41,4.29,38.13,55.4,5.04,1.44
PS,2001,Sports,1.09,0.49,0.02,0.07,1.67,4.29,38.13,55.4,5.04,1.44
GC,2001,Sports,0.64,0.17,0.0,0.02,0.82,4.29,38.13,55.4,5.04,1.44
X360,2006,Role-Playing,2.82,1.03,0.13,0.4,4.38,4.34,48.66,40.28,9.2,1.86
PC,2006,Role-Playing,0.01,0.2,0.0,0.04,0.25,4.34,48.66,40.28,9.2,1.86
NES,1987,Adventure,2.19,0.5,1.61,0.08,4.38,3.33,11.63,37.98,36.43,13.95
PS3,2006,Shooter,1.74,1.72,0.14,0.75,4.34,3.65,7.14,60.71,27.38,4.76
PS2,2005,Role-Playing,2.2,0.58,1.38,0.17,4.33,4.36,63.27,23.47,6.46,6.8
WiiU,2013,Platform,2.11,1.16,0.73,0.32,4.32,4.36,45.05,49.1,4.5,1.35
X360,2008,Role-Playing,2.51,1.24,0.11,0.41,4.27,4.13,34.62,50.1,12.22,3.05
PS3,2009,Action,2.24,1.31,0.07,0.61,4.23,4.41,53.64,38.32,5.95,2.09
X360,2009,Action,2.2,0.95,0.02,0.31,3.48,4.41,53.64,38.32,5.95,2.09
PC,2009,Action,0.0,0.28,0.0,0.05,0.32,4.41,53.64,38.32,5.95,2.09
PS2,2004,Action,1.46,0.0,0.83,1.93,4.23,4.38,68.49,17.81,5.48,8.22
PSP,2006,Platform,2.45,1.01,0.0,0.75,4.21,4.07,22.81,64.91,10.53,1.75
PC,1995,Strategy,1.7,2.27,0.0,0.23,4.21,4.36,54.64,35.71,5.36,4.29
